DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
27400;NØTTERØY - FØYNLAND;Jul 1895;;2;59.2366;10.4560;Færder;Vestfold;SOUTHEASTERN NORWAY
27410;MÅKERØY;Dec 1967;Sep 1994;43;59.1578;10.4402;Færder;Vestfold;SOUTHEASTERN NORWAY
27450;MELSOM;Apr 1959;;26;59.2300;10.3483;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27470;TORP;Sep 1959;;88;59.1845;10.2553;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27500;FÆRDER FYR;Jan 1885;;6;59.0272;10.5242;Færder;Vestfold;SOUTHEASTERN NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
27470 No data for TAND, TAXD
********************************************
****************** NOTE *****************
27410 No data for TAND, TAXD
********************************************
****************** NOTE *****************
No data for: 27470, 27470, 27470, 27470, 27470, 27470
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
27400;16.02.2016;-3.3;OK;-9.9;-9999;-9.9;-9999;1.6;-9999;1.6;-9999
27400;17.02.2016;1.9;OK;0.9;-9999;1.3;-9999;3.2;-9999;3.2;-9999
27400;18.02.2016;-1.8;OK;-3.2;-9999;-3.2;-9999;1.6;-9999;0.1;-9999
27400;19.02.2016;0.4;OK;-2.6;-9999;-1.9;-9999;2.1;-9999;2.1;-9999
27400;20.02.2016;2.7;OK;0.6;-9999;0.6;-9999;5.1;-9999;5.1;-9999
27400;21.02.2016;2.3;OK;-0.8;-9999;-0.8;-9999;6.2;-9999;6.2;-9999
27400;22.02.2016;0.5;OK;-1.8;-9999;-9999;-9999;4.0;-9999;-9999;-9999
27400;23.02.2016;-1.1;OK;-3.5;-9999;-3.5;-9999;2.6;-9999;2.6;-9999
27400;24.02.2016;-0.8;OK;-5.4;-9999;-5.4;-9999;5.8;-9999;5.8;-9999
27400;25.02.2016;-1.5;OK;-6.8;-9999;-6.8;-9999;3.4;-9999;3.4;-9999
27400;26.02.2016;-0.4;OK;-6.0;-9999;-6.0;-9999;8.5;-9999;8.5;-9999
27400;27.02.2016;-1.4;OK;-6.4;-9999;-6.4;-9999;4.3;-9999;4.3;-9999
27400;28.02.2016;-1.7;OK;-6.5;-9999;-6.5;-9999;3.7;-9999;3.7;-9999
27400;29.02.2016;-1.4;OK;-4.6;-9999;-4.6;-9999;1.8;-9999;1.8;-9999
27400;01.03.2016;0.8;OK;0.1;-9999;0.1;-9999;1.8;-9999;1.8;-9999
27400;02.03.2016;-0.1;OK;-0.7;-9999;-0.7;-9999;1.5;-9999;0.3;-9999
27400;03.03.2016;1.3;OK;0.0;-9999;0.0;-9999;4.2;-9999;4.2;-9999
27400;04.03.2016;1.0;OK;0.2;-9999;0.2;-9999;2.1;-9999;2.1;-9999
27400;05.03.2016;1.4;OK;-1.1;-9999;-0.3;-9999;3.0;-9999;3.0;-9999
27400;06.03.2016;0.5;OK;0.2;-9999;0.2;-9999;1.9;-9999;1.5;-9999
27400;07.03.2016;0.7;OK;-0.4;-9999;-0.4;-9999;2.1;-9999;2.1;-9999
27400;08.03.2016;1.3;OK;-1.5;-9999;-1.5;-9999;6.3;-9999;6.3;-9999
27400;09.03.2016;1.3;OK;-1.6;-9999;-1.6;-9999;2.9;-9999;2.9;-9999
27400;10.03.2016;1.5;OK;0.1;-9999;0.1;-9999;5.7;-9999;5.7;-9999
27400;11.03.2016;-1.0;OK;-3.9;-9999;-3.9;-9999;1.8;-9999;1.8;-9999
27400;12.03.2016;1.0;OK;-1.9;-9999;-1.9;-9999;3.7;-9999;3.7;-9999
27400;13.03.2016;2.7;OK;0.4;-9999;0.4;-9999;6.2;-9999;6.2;-9999
27400;14.03.2016;4.7;OK;1.1;-9999;1.1;-9999;12.5;-9999;12.5;-9999
27400;15.03.2016;6.8;OK;1.5;-9999;-9999;-9999;14.9;-9999;-9999;-9999
27400;16.03.2016;2.9;OK;-1.5;-9999;-1.5;-9999;7.3;-9999;6.7;-9999
27400;17.03.2016;1.7;OK;0.5;-9999;0.5;-9999;4.7;-9999;4.7;-9999
27400;18.03.2016;4.8;OK;-1.8;-9999;-1.8;-9999;12.2;-9999;12.2;-9999
27400;19.03.2016;5.5;OK;-1.4;-9999;-1.4;-9999;11.8;-9999;11.8;-9999
27400;20.03.2016;6.2;OK;-0.1;-9999;-0.1;-9999;12.2;-9999;12.2;-9999
27400;21.03.2016;4.2;OK;-0.8;-9999;-0.8;-9999;9.6;-9999;9.6;-9999
27400;22.03.2016;3.2;OK;-0.3;-9999;-0.3;-9999;8.2;-9999;8.2;-9999
27400;23.03.2016;4.8;OK;-0.9;-9999;-9999;-9999;9.5;-9999;-9999;-9999
27400;24.03.2016;2.5;OK;-3.2;-9999;-3.2;-9999;5.2;-9999;5.2;-9999
27400;25.03.2016;4.9;OK;3.3;-9999;3.3;-9999;8.8;-9999;8.8;-9999
27400;26.03.2016;4.3;OK;-1.6;-9999;-1.6;-9999;7.6;-9999;7.6;-9999
27400;27.03.2016;5.8;OK;5.0;-9999;5.6;-9999;6.4;-9999;6.4;-9999
27400;28.03.2016;6.4;OK;5.1;-9999;5.1;-9999;9.3;-9999;9.3;-9999
27400;29.03.2016;6.2;OK;5.2;-9999;5.2;-9999;8.8;-9999;8.8;-9999
27400;30.03.2016;4.0;OK;0.6;-9999;0.6;-9999;8.1;-9999;8.1;-9999
27400;31.03.2016;2.9;OK;-2.0;-9999;-9999;-9999;8.6;-9999;-9999;-9999
27400;01.04.2016;4.4;OK;-0.9;-9999;-0.9;-9999;8.7;-9999;8.7;-9999
27400;02.04.2016;5.9;OK;4.3;-9999;4.3;-9999;8.8;-9999;8.8;-9999
27400;03.04.2016;6.0;OK;4.3;-9999;4.3;-9999;8.2;-9999;8.2;-9999
27400;04.04.2016;7.7;OK;5.5;-9999;5.5;-9999;10.0;-9999;10.0;-9999
27400;05.04.2016;6.5;OK;5.3;-9999;5.3;-9999;9.9;-9999;9.9;-9999
27400;06.04.2016;7.2;OK;5.3;-9999;5.3;-9999;11.7;-9999;11.7;-9999
27400;07.04.2016;6.6;OK;5.2;-9999;-9999;-9999;10.3;-9999;-9999;-9999
27400;08.04.2016;5.2;OK;4.9;-9999;4.9;-9999;6.4;-9999;6.4;-9999
27400;09.04.2016;5.3;OK;2.7;-9999;3.8;-9999;8.9;-9999;8.9;-9999
27400;10.04.2016;6.4;OK;1.2;-9999;1.2;-9999;10.7;-9999;10.7;-9999
27400;11.04.2016;6.5;OK;2.2;-9999;2.2;-9999;12.8;-9999;12.8;-9999
27400;12.04.2016;7.2;OK;0.6;-9999;0.6;-9999;14.5;-9999;14.5;-9999
27400;13.04.2016;7.9;OK;3.0;-9999;3.0;-9999;14.2;-9999;14.2;-9999
27400;14.04.2016;7.8;OK;5.9;-9999;5.9;-9999;11.5;-9999;11.5;-9999
27400;15.04.2016;7.1;OK;5.9;-9999;-9999;-9999;8.8;-9999;-9999;-9999
27400;16.04.2016;6.6;OK;4.7;-9999;4.7;-9999;9.0;-9999;9.0;-9999
27400;17.04.2016;6.0;OK;4.1;-9999;4.1;-9999;9.0;-9999;9.0;-9999
27400;18.04.2016;8.0;OK;4.2;-9999;4.2;-9999;12.6;-9999;12.6;-9999
27400;19.04.2016;9.0;OK;2.1;-9999;2.1;-9999;14.9;-9999;14.9;-9999
27400;20.04.2016;8.8;OK;4.0;-9999;4.0;-9999;13.1;-9999;13.1;-9999
27400;21.04.2016;9.9;OK;6.0;-9999;6.0;-9999;16.4;-9999;16.4;-9999
27400;22.04.2016;6.7;OK;3.3;-9999;3.3;-9999;10.9;-9999;10.2;-9999
